Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
672¿VariableDeclarator¿¿1037¿proc¿¿¿{"start":{"line":24,"column":10},"end":{"line":24,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
673¿CallExpression¿¿1037¿¿¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":64},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿CallExpression
674¿MemberExpression¿¿1037¿¿¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿MemberExpression
675¿Identifier¿¿1037¿childProcess¿¿¿{"start":{"line":24,"column":17},"end":{"line":24,"column":29},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
676¿Identifier¿¿1037¿spawn¿¿¿{"start":{"line":24,"column":30},"end":{"line":24,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
677¿Identifier¿¿1037¿command¿¿¿{"start":{"line":24,"column":36},"end":{"line":24,"column":43},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
678¿Identifier¿¿1037¿args¿¿¿{"start":{"line":24,"column":45},"end":{"line":24,"column":49},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
679¿Identifier¿¿1037¿spawnOptions¿¿¿{"start":{"line":24,"column":51},"end":{"line":24,"column":63},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
680¿VariableDeclarator¿¿1037¿v64¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
681¿BinaryExpression¿!==¿1037¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿BinaryExpression
682¿Identifier¿¿1037¿PROC_TIMEOUT¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":20},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
683¿Literal¿number¿1037¿¿0¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Literal
684¿IfStatement¿¿1037¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿IfStatement
685¿Identifier¿¿1037¿v64¿¿¿¿¿Identifier
686¿VariableDeclarator¿¿1037¿v65¿¿¿{"start":{"line":26,"column":22},"end":{"line":26,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
687¿MemberExpression¿¿1037¿¿¿¿{"start":{"line":26,"column":22},"end":{"line":26,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿MemberExpression
688¿Identifier¿¿1037¿proc¿¿¿{"start":{"line":26,"column":22},"end":{"line":26,"column":26},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
689¿Identifier¿¿1037¿pid¿¿¿{"start":{"line":26,"column":27},"end":{"line":26,"column":30},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
690¿VariableDeclarator¿¿1037¿v66¿¿¿{"start":{"line":26,"column":17},"end":{"line":26,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
691¿CallExpression¿¿1037¿¿¿¿{"start":{"line":26,"column":17},"end":{"line":26,"column":36},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿CallExpression
692¿Identifier¿¿1037¿kill¿¿¿{"start":{"line":26,"column":17},"end":{"line":26,"column":21},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
693¿Identifier¿¿1037¿v65¿¿¿¿¿Identifier
694¿Identifier¿¿1037¿out¿¿¿{"start":{"line":26,"column":32},"end":{"line":26,"column":35},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
695¿VariableDeclarator¿¿1037¿v67¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿VariableDeclarator
696¿CallExpression¿¿1037¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":51},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿CallExpression
697¿Identifier¿¿1037¿setTimeout¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":16},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
698¿Identifier¿¿1037¿v66¿¿¿¿¿Identifier
699¿Identifier¿¿1037¿PROC_TIMEOUT¿¿¿{"start":{"line":26,"column":38},"end":{"line":26,"column":50},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿Identifier
700¿ExpressionStatement¿¿1037¿¿¿¿{"start":{"line":26,"column":6},"end":{"line":26,"column":52},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿ExpressionStatement
701¿Identifier¿¿1037¿v67¿¿¿¿¿Identifier
702¿BlockStatement¿¿1037¿¿¿¿{"start":{"line":25,"column":28},"end":{"line":27,"column":5},"fname":"/Users/elza/Documents/Final_Dataset/JS_totals/Vulnerable/command-injection/recent_snyk/snyk-sbt-plugin/sub-process.js"}¿¿BlockStatement
